text,score
"The author chose to end the story this way for several reasons. Some of the reasons is that it creates a feeling of hope in the reader, tells us we always have another chance and the importance of persistence. The ending paragraph creates a feeling of hope since it shows how everything will return and others will be another chance. The author chose to put this in the text since it creates a happy note to end on and give the reader happiness of knowing there is hope. Another reason the author chose to end the story with this paragraph is that it tells the reader that you always get another chance no matter what you do. The author wanted to impart this on the reader since it is an important lesson to know. The ending also tells the reader that persistance is very important in life and almost essential to live. The author shows this by talking about the snow melting, the geese returning and the flower blooming which are things that happen constantly and almost stop because they refuse to give up and die. Therefore, the author chose to end the story with this paragraph for several reasons. The author chose to end it this way since the paragraph gives a lot of hope to the reader and gives the idea of a second chance. The author also chose to end with this paragraph since it has several analogies to persistance which is vital in life.   ",3
"The authoR concludes the stoRy with this paRagRaph because he is saying that Saeng likes to do thing in the spring when she sees flowers gRowing because she feels like she is at home, so she feel moRe confident. about passing the test.",1
"In the story ""Winter Hibiscus"", the author concluded the story with the quote ""when they come back, Saeng's vowed silently to herself, in the spring, when the snow melts and the geese return and this hibiscus is budding, then I will take the test again."" the auther put this paragraph as the concluding thought to stress that Saeng is determined to make a change. She failed the test but wants to take it again. Her grandmother's resemblance is in the flower so if the flower budds, then her grandmother will be back in a sense. When he grandmother ""comes back"" then @PERSON1 will feel as if her grandmother is giving her strength and encouragement to try the test again.",2
"The auther ends with that paragraph to show how Saeng, like the budding  Hibiscus, will get a new start in the spring and overcome obstacles.",1
"The auther concludes the story with,   when they cam back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and tis hibiscus is budding, then I will take that test again. I think the auther used that conclusion to make the reader want to finish the story on their own. Or he could write another story to finish it. Most authors conclude their storys like this so the reader is in control about the ending.",1
"The author ends the story in this way because the plant and leaving of the geese represent change to Saeng. The hibiscus isn't the same as she remembers from back home. The budding of the hibiscus shows Saeng's happiness from home. This paragraph shows that the familiarity of the budding plant gives Saeng courage and the ability to overcome her obstacle. The geese in this paragraph represent the keeping of time. The plant will budd at the time the geese return in the spring. If the author hadn't included this final paragraph, the full effect of memories for Saeng wouldn't have been fully portrayed. This line implies that Saeng was unable to overcome her obstacle because of the newness of this place. when the budds bring her a sense of home, she will be able to defeat the obstacle of her driving test. She will be more confident.",1
"There are many reasons wht the author chose to conclude the story with Saeng vowing to attempt the driver's test again. At first, the story begins with a tone of sadness and seing fact ""as Saeng walks home after failing her driver's test"" this quote sets the tone as sadness because she has failled a very important test and she is walking alone. ""She sees a familier plant"" is when the hope comes back into the story. When she brings the plant she had purchased here to her mother also sees delinlted. "" where did you get it?"" her mother aasked, and Saeng replied ""I bought it."" She bought it for @MONEY1 more then her mother said for all of the seeds in the garden. As time went on it was clear to her mother the plant signifies strength and hope to her daughter and endyat the plant with have as well I remember a time upon my mother bought me a work-candle cat desdion. I felt it was a waist of money, but when @CAPS1 saw her light delights for I it with love as well. When Saeng's mother felt have from thr plants made Saeng happy and gave her courage the driver's test again. is the reason why the author chose to conclude the story with Saeng vowing to attempt the driver's test again. ",3
"The author concludes the story with the paragraph,   When they come back, Saeng vowed silently to herself, in the spring, when the snow     to show that Saeng got stronger. She got, stronger because she adjusted to her new home and new environment. Saeng is more confident in herself to take the test again. She doesn  t want to cry again, like she did in her last test. Being more confident and more adjusted is the reason why she has become stronger, and the reason why she wants to take the test again is because she is stronger.",2
"Confidence, persistance, memories    all things that Saeng has   that helps explain why the author concludes this story with this paragraph since Saeng moved from her own country, she has not been very happy, she was upset pretty much the whole time and misses everyone and @CAPS1 from Vietnam; @CAPS1 she sees reminds her of it, that last paragraph, where it says,   then I will take that test again,   shows that she has confidence in herself and wants to try harder next time. She shows persistence when she says she will try again and hopefully, she won  t give up, Saeng misses almost @CAPS1 from Vietnam, even the food. She also misses her family and how they look and dress. Her memories were probably hold her back from concentrating hard on her drivers test, she knows she wanted to do good so she bought the flower in hopes that would make her feel better. Hopefully, Saeng  s life will get better in the United states and she will learn to love this country.",1
"I think the author concludes the story as he or she did to teach a lesson. No matter what stands in your way or no matter what slows you down never give up. You should keep on trying. If you fail something, try again and again until you get it right.",1
"@CAPS2, memories, hard @CAPS1 – All are reasons why the author conluds the story with this “When They come back, saeng vowed silently to herself in the spring, when the snow melt and the geese return and this hibiscus is buddng, Then I will take the t",2
"The author of   Winter Hibiscus  chose to end the story with that paragraph to reenforce the theme of the story and conclude with a hopeful tone. The theme of the story is adjusting to new circumstances and making the best out of each change. ""Saeng vowed silently to herself"" tells the audience that Saeng is making an effort to fit in and find the good in her new life. The hopeful tone that is created is a way to show that Saeng is willing to accept changes in life and wants to do her best to overcome obstacles. She says,   I will take that test again  . The test represents the obstacles she will overcome when efforts applied. The hibiscus in the sentence ""  when the snow melts and the geese return and this hibiscus is budding...   @CAPS1 starting over. The budding hibiscus is compared to Saeng with a fresh start and determination to achieve her goals of adjusting to a new lifestyle. The author chose this paragraph to conclude the selection to highlight the theme and symbolize a new start",2
"I think the author concludes the story with that statement because the audience can then compare saeng and the hibiscus. After reading that statement, I realized saeng and the hibiscus are alike because they are both going to make it through and come out on top, (Saeng getting her license and the hibiscus bidding) @CAPS1 the author might have ended the story with that statement because it shows that saeng is committed to working toward her goal and won  t give up.   Saeng  vowed silently to herself,   I will take that test again  , Finally I think  the author concluded the story with that statement because it gives the audience the satisfaction of knowing what is going to happen to saeng but leaving a little mystery for the audience to fill in how  they want. For example, I know saeng is going to take the test again and I believe she will pass it, @CAPS2, another person reading it might believe she failed again and had to retake it again.",2
"The author concludes the story with this paragraph to let the reader compare the girl to the geese and the hibiscus. The geese leave for the. winter and then come back in the spring, however the geese also show how the girl is going to come back and take the drivers test again in the spring. The hibiscus dies off over the winter and starts budding again in the spring, this shows that winter is its weakness. Like the hibiscus the girl overcomes her weakness of not being able to drive by remembering her homeland. The author puts this paragraph at the end of the story so you can see that the girl is like the geese and the hibiscus.",3
"I think the author concluded the story with that phrase because it shows she will mature. She is saying that she was not ready for all the challenges she was going to face, For example she did not pass her test but instead of crying about it she just said I will take it again next year. In the story she also longed for her homeland, which she truley missed. She coped with this by buying a winter hibiscus to remind her not only of her homeland but also of her grandmother overall the main character showed depth and maturity throughout the piece.",3
"The author concludes the story the way that she does because it shows Saeng  s willingness to adapt to her surroundings, just like the hibiscus. Saeng needs to adapt to her new home in @LOCATION1, and the hibiscus needs to adapt for the upcoming winter. Saeng vows to herself,   When the snows melt and the geese return and this hibiscus is budding     @CAPS1 from this, you can tell that Saeng has hope for both herself and the hibiscus. Initially, Saeng was very reluctant to accept her home. She says of the hibiscus,   it  s not like the kind we had before.   But she realized that the hibiscus could be a reminder of home as well as reminder to change for her new home. She knew that if the hibiscus could survive the winter, she could survive living somewhere new.  ",2
"The author concludes this story with the promise Saeng made to herself to take the test again, come springtime, because Saeng is having trouble adapting to her new home, and she won  t give up on fitting in after only one failure. Remembering her home and that she will never be able to return are painful thoughts to Saeng and memories of it help her cope with her loss. The hibiscus and other familiar flowers she found comforted her, because they reminded her of home. At springtime when the geese return and the hibiscus starts blooming, Saeng will feel ready again to take the test, the spring represents the chance for another try, and a new beginning.",2
"The author concludes the story with the last paragraph. The author chose because the sentence informs you Saeng will take the test agin. In paragraph @NUM1 Saeng tell  s her mother she faild the test. So by the time spring comes around the hibiscus will start budding and Saeng will retake the test. Also the geese left the home temporally because of snow. So she sort of compares herself to the geese because she missis her home. The geese will return when the time is right, that is what the author concludes in the story  s paragraph.",2
"I believe that the author concluded the story with this paragraph because the plant represent to being determined to survive. In other words, the hibiscus brings Saeng a good luck for her next driving test after winter season uhen the hibiscus is budding. Also, the reason why the author concluded the sentence to show what her plan for the future",1
"In the story      Winter Hibiscus,     the author concludes the story with this paragraph  for many reasons. This paragraph shows that Saeng  will not give up, she  will wait for next time  to come around to take the test. It also means she will be well prepared and will have a list  of  confidence in passing  this test. It gives the reader an idea that Saeng will not give up and she will complete the test. Her mother will be proud of her  for it and it shows Saeng will never give up. Just like when she said   let  s plant it, right now,     T his example shows that even though Saeng had failed the the test and disapointed her mother,she will never give up and she still has hope in the plant just like how her mother has hope for Saeng.         ",2
"The author concludes the story with this paragraph because he is talking about when Saeng vowed silently because she is thinking about what had happen a long time ago with her mom, the plants in her garden. Saeng was thinking about when everything comes back how will it be with the return of Spring, when the snow melts how will things be, the geese retorning and she will take the test again, that is what She was vowed silently to herself about. That is how i thik the author will conclude the story with this paragraph included wit it.",1
"The author concludes the story with this paragraph. In this story it about a @PERSON1, a girl and her mother. The girl is given money to buy a plant seeds. She spend @MONEY1 on this plant. Her mother get upset, but every thing turn on it, lk they had egg omlets with bits of melon.",1
"The author concludes this story with this paragraph because she wants to show that after everything that happened, saeng will move on and try hard. For example, when she said,   When they come back in the spring, When the snows melt and the geese return and this hibiscus is budding, then I will take that test again.   By ending the story like this, it leaves the reader in suspense because they do not know if the geese will return. The author seems to be showing the reader that Saeng is starting to adapt to her new country and make it like her old one. For example, when the mother said,   I  ve seen this kind blooming along the lake. Its flowers aren  t as pretty, but it  s strong enough to make it through the cold months here, this winter hibiscus.   This shows that they want their new country to be more like their old one and when it is, she will be happy. Therefore, the author concludes this story with this paragraph to show how she will adapt to the change in her environment.   ",2
"I believe there is a meaningful reason why the author concludes the story with this paragraph. I think that the author will feel more confortable and ready to take the test. I was able to come to this conclusion because by waiting for winter to be over to take the test again, she is giving herself time to prepare. Also, she is waiting for the hibiscus plant to bud. Something. I was able to extract from the fact that she wants to wait for the hibiscus is the presence of confort, the whole story revolves around how saeng was able to confort herself by reminiscing on her past experiences in Vietnam. When she feels that an important part of her life is returning, that she can become comfortable and focused. I think the author would conclude the story with this paragraph is because the author wants to stress the importance of this flower involving how saeng lives her life",3
"The author concludes the story with this paragraph to show she has hope. She believes that she can pass the test when everything is back to normal, in the spring. In the spring the geese will return and the hibiscus will be budding. This makes her feel more at home because it was always like this before she moved. Also she likes the geese and the hibiscus and these things might make her feel more comfortable. This is why the author concludes the story with the paragraph to show she has hope.",1
"The author concluded the story with this paragraph he/she wanted to compare Saeng life with the plant. For example, in the story Saeng had just failed her driving test and then she saw a plant the reminded her of homeland. From the flower shop to the house, she is comparing her home land to the flower which shows how she relates to it. So the concluding paragraph shows how when the hibiscus is budding and starts a new phase she will too and go for her drivers license.",2
"The author concludes the story with this paragraph to show saeng  s determination to adapt to the change in her life. In the story saeng fails her drivers test and is struggling to adapt to her new life in @LOCATION1. However, when she sees that the hibiscus and geese are familiar, she is determined to adopt as well. Saeng buys a hibiscus because it reminds her of home. This not only comforts her it also makes her miss her old home more. The hibiscus can survive in both @LOCATION2 and @LOCATION1, so it helps saeng realize that she can as well. The author includes the geese because they help saeng realize that she is becaming more familiar with things in the United states, so she can continue to adapt. Saeng says that she now recognizes the   V   shape of the geese. Realizing that she is becoming more accostomed to @LOCATION1 and she is able to survive helps her reach the determination to retake and pass her driving test. The author includes it to summarize the story theme of adopting to change.",3
"The author concludes the story with this paragraph to show the importance of new beginnings and to accentuate the theme in the story. The theme is that one must overcome hardships and seek new beginnings. The springtime is a representation of a new beginning. So, the new beginning of spring will allow her to start all over again on the drivers   test. Also, the author uses the paragraph to show the symbolic qualities of everyday things. Just how the hibiscus reminded her of home life, the geese will remind her of springtime.",2
"In the story ""Winter Hibiscus"" the author Minfong Ho concludes the story with that paragraph because it was a way of saying shes going to forget about what happen in the past with her failing her test and shes going to do better the next time. Its like the author is saying she will be reborn again like the hibiscus, when the spring comes. Through the story Saeng had to adjust just like the hibiscus. And the hibiscus inspired Saeng to do well where shes at. So it  s a new beginning to Saeng, after all her learning from hibiscus.",2
It  s kind of like a theme for the story. The hibiscuss inspire her to want to do things. I guess it brings memories of her home country and makes her want to try new things. This is significant to the story because it shows you how important the hibiscus was to saeng.,1
"I think the authour chose to end the story this way to show that the girl is remembering her past and being at, ease. with the flower she at a since of peace. The writer wants to convey that no matter what your used to you can find something that can bring you happiness and a since of focus.",1
"In the short story   Winter Hibiscus   by   Minfong Ho   she ends the story by saying,   when they come back, Saeng vowed silently to herself, in the spring, when the snow melts and the geese return and this hibiscus is budding, then I will take that test again.   I-I failed the test  . As many kids do, Saeng failed her driving test and she is crucially upset about it. nobody wants to fail at something and it is almost a humiliating experience to have failed at a test. knowing that others have already successfully passed. With the quote in the introduction paragraph, or the one in the question, it was written as a sign of symbolism. When the geese return back north, it is to show that they are ready to   start over   again or to   try again  . When the hibiscus is budding it is trying to   start life   again. Saeng seeing objects doing things over and over again empowers her to want to succeed and try again. She realizes it is just a part of life and that in order to succeed you have to fail. Minfong concludes with that quote because she understands that no matter what the obstacle, you must press forward and keep trying in order to succeed. She realizes success can only come from hard work and commitment, and that that is what makes a great, strong individual.",2
"The author concludes the ending as   I will take that test again   meaning that the things she going through now is going to happen again but next time she will be peperd. Saeng has a very difficult time moving to another country and getting comfortable in the place the mother suports her as she go throught winter the hibiscus that she bought is a symbol that represent more than it selfs, in this text of winter Hibiscus by Minfong Ho shows this biscus that she bougth when she was in wrost time, she went throug winter with the hibiscus nand at the last paragraph of the story express   when the snows melt and the geese return and this hibiscus is budding   she is thinking of the feature and how she   saeng vowed silently to herself in the spring. She can  t wait until winter is over and is just waiting for the spring to come.",2
"I think the author concludes the story with the paragraph to ensure the reader that she will say again. Also, the author concludes the story this way to show the reader that no matter where you go in life it will always be something and or someone their to assure you of everything. The author also wanted the reader to feel a sence of similarity to the character meaning no matter how out of place you feel its always something you can relate to",1
"The author concludes the story with thise paragraph so that we buy his comming book, or so that we get more exited.",1
"In this story theauther deicides to end the story with this paragraphe, ""when they come back, saeng vowed silently to herself, in the spring when the snows melt and the geese return and this hibiscus is buding, then I willtake that test agien."" because she wants to take the test when every thing is isanters, de forexample she wants everything she likes in her nuforment such as the flowers, the geese and the whether. Another reason why I say the author ends the story with that paragragh because she wants to be, ua eviorment like the one that she was in her home country forexemple there was no snow it was like sping time all ver around. This is why I say that the auther ended the story with that paragraph.",1
"The author concludes the story with this paragraph to show that she is comforted by the memories of her homeland and really appreciates the beauty of tropical plants. She believes that since it is winter and the hibiscus is not budding, that cannot pass the test until it is.   almost reluctantly, she realized that many of the thing that she had thought of before had become through the quite repetition of season upon season, almost familiar to her now.   This shows how much she really does believe in the beauty of her homeland and the tropical plants because she is thinking back to other times where things have been strange during the winter and better in the spring and @DATE2 seasons when the plants are budding, so she believes that she will actually pass the drivers test when she feel comfortable, when the plants have budded.",2
"The geese flying south for the winter and the hibiscus budding are normal things to Saeng. The author wanted to conclude the story with this to show that Saeng felt comfort in things that she was acustomed to. Saeng wanted to have the geese and hibiscus there to feel more comfortable while taking her driving test. Saeng still longs for home and does not quite feel like she fits in the u.s. The hibiscus gives her that comfort feeling like she is home again, in Vietnam, Saeng still feels homesick because she wants things to be how they were. The plants in the green house along with the disappointment of failing her driving test bring her to the emotional state that she was in. In the second to last paragraph the author talks about the feeling of repetition Saeng has when seeing the v formation. Saeng feels that in the winter she will not have the same comfort feeling as when she can see the hibiscus and the geese flying overhead. It says when Saeng arrived in the @LOCATION2 she had nothing that was familiar to her.  Now she gets that feeling from the geese and plants. The author concluding by saying Saeng will take her driving test when the winter ends is a good closing because it gives you some insight as to what Saeng is going to do.",3
"In the story,   Winter Hibiscus,   the author concludes his story with an odd ending.     when they come back,   Saeng vowed silently to herself,  in the spring, when the snow melts and the geese return and this hibiscus budding. then I will take that test again.     I believe that beyond the literal meaning the author is showing how Saeng is adapting to the new country. By failing her driver  s test she also failed in adapting and accepting the new country By vowing to try again it also shows that she is willing to give the country another chance.   She found she was still too shaky to say the words at home..   I believe that this is showing that she still didn  t consider this country her home. She was still stuck on her past.       ",3
"The author concludes this story in the paragraph to show that saeng wont stop, just because she faild one first time. It also shows that she is not going to let certaint things keep her down.",1
"The last sentence of a story is usually the most meaningfull. I believe the author ended the story this way for many reasons. For example, I think the author did this to leave the reader with a strong sense of determination. The story quotes,   I will take that test again.   By use of the word will, the author shows the girls determination. She didn  t say she would try to, she said she will, without a doubt. I also think the author ended this way to emphasize the theme of new begginigs. The story quotes,   when they come back... in the spring... I will take that test again. This shows that in spring, the new begginig of life she will take the test. This is why I believe the author ended the story this way.",2
"The author of   Winter Hibiscus   made a good choice to conclude the story with   when they come back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus  is budding, then I will take that test again.   This paragraph hints to the reader that Saeng intends to combine her new and old lives. Her old life is represented by the hibiscus; she used to the constants from back home. The geese symbolize her new life; they have become   almost familiar to her now   The obstacle she faces is passing the driving test. The author implies that in the spring, when the old and new parts of Saeng  s life are combined, Saeng will be able to overcome her   obstacle,   and all will be well. With the geese in the ground, Saeng  s life will have come full circle.",3
"In the story   Winter Hibiscus   by Minfong Ho. I think the author concludes the story with this paragraph because it emphasiseS that Saeng is willing to retake the test when it comes back. I also think that the author concludes the story with this paragraph because in the story the @NUM1 to last paragraph says,   Almost reluctantly, she realized that many of the things that she had thought of as strange before had become, through the quite repititon of the season upon season, almost farmiliar to her now.   This sentence shows me that @PERSON1 is slowly getting used to the new place. Also how she is changing her mind about the pLant and the fact that even though its not the same, it can still have meaning. Therefore, I think the author made a good choice in ending the story with this paragraph.   ",2
"The last paragraph states   in the spring, when the snow melt and the geese return and this hibiscus is budding then I will take that test again.   I believe the author has ended with that paragraph to state the fact when her new home is like her old home maybe she will feel more confident and more in her place, instead of cold winter total opposite of where she use to live. The feeling of her old home, in her new home will make her more positive and comfortable. So then she will take the test feeling at home and pass.",1
"In the story   Winter Hibiscus   by Minfong Ho. The author expresses how the girl believes with her memories and once she changes and adapts to the culture that  s when she will have the courage to re take the test she failed that day. Saeng misses her home so much and she can  t grasp that their are similarities between her new home to her old home.   She realized that many of the things that she had thought of as strange before had become, through the quiet repetition of season upon season, almost familar to her now  . Saeng didn  t want to expect the move but noticeing that she won  t forget any memories she starts to take on new memories. At first everything was so different now she is starting to remember things about her new home which is a sign of comfort to her.   She found that she was still too shaky to say the words at home, lest she burst into tears again."" With Saeng  s feelings of the change the ending paragraph lets the reader know that there is hope for moving on her knew home. She is gradually starting to gain confidence and she knows when she does she can take her test an succeed at it. The author shows how good change can be if your willing to adapt. Everything might not always be as perfect as you know it to be but your courage will make a happy home with new and old memories, As Saeng starts to relize during the last paragraph.",1
"The reason the author concludes the story with that kind of paragraph, I think he  s trying to show saeng as the type of person to not give up and always to keep growing just like the hibiscus plant. And because she realizes that most of the things that she thought as strange before had become, through the quiet repetition of season upon season  that was almost familiar to her. Saeng notices that she will still have next season when the plant has grown and the geese fly into a distinctive V again",1
"Minfong Ho concludes the story with this paragraph because to show how Saeng fills. In the paragraph Saeng said ""I will take that test again"" means will I go throught the same stuff. Also @CAPS1",1
"The author concluded the story with his paragraph because these are all things that she isnt going to give up on.She is trying to say that when everything she believes in successed thats when she is going to take her driving test.Her mother says that the flower is never going ti give up and it  s strong enough to live through the winter.The geese are going to always come back.That is exactly what she is going to do with her test.She is not going to give up on the test,she is going to keep trying untill she passes.",1
"The author concludes the story,   Winter Hibiscus,   with that paragraph because it sums up everything the hibiscus has given Saeng for strength and courage. Just like the hibiscus, Saeng felt out of place in this new country and the hibiscus helps her realize the importance in adapting to her survival in order to live happily. She can  t alway be dwelling in the past but learn to like where she lives now. Therefore, when the author writes,   In the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again,   it is a direct symbol of Saeng budding or opening her mind to the @CAPS1 ways, like learning to drive. ",2
"I believe the author of   winter Hibiscus   used this for the last paragraph because it is saying when she sees that hibiscus it will give her memories of home again which will bring encouragement for the test.   The geese symbolize Saeng's determination to pass the test and try like the new country. Saeng explains,   she lifted her head and watched as their distinctive I was etched against the evening sky, slowly fading into the @NUM1) this quote creates a vivid image in my mind that lets me know Saeng will really go and take that test when she has encouragement from not only the geese but the hibiscus also.",3
"The author concludes with that paragraph because it is in a way letting you know that everything  s going to be alright. Saeng is going to retry her drivers test again and everything is back to the way she likes best.It gives you a sense of hope, that everything is going to be alright wi her. Also, that she is going to start making the best out of life. I believe it  s saying to that is why I think the author concludes wi that paragraph.",1
"The Author uses this paragraph to @CAPS1 the Story because it shows how Saeng wants to adapt to this country and she is allready beging to understand it and like it. When it @CAPS2   and this hibiscus is budding, then I will take that test again   It is a metaphor about herself when the @CAPS3 begins to bloom and @CAPS4 Just as she is starting to bloom and @CAPS4. This is why the Author endeded with this passage.",1
"Saeng said that when the tree she bought starts budding she will take the test over. She means that without that plant she just does not feel like taking the test. She does not because the plant was with her, her whole life. She also thinks that she can not do it, without that plant. Saeng means that since she  s had a plant like that her whole life then she thinks she needs it, but I don  t think she really needs it. I guess it just   comforts   her.",1
"After reading the story   Winter Hibiscus   by: Minfong Ho the author ends the story in a unique way that demonstrates a will to survive. For example in the text the author writes and explain how the plants   dok faeng-noi,   has adapted to its cold environment is different to the ones back at home. This demonstrates the idea of survival be the fact that in the past this plant migrated to a place that seemed warm at the time, but when cold streets, it found ways to change itself and adapt all based on the instinct to survive. Another example in the text is the author     Saeng telling herself that in the spring she will try and take the test again. This demonstrates the will to survive because when Saeng failed the test she felt a sense of meloncoly and failure. The fact that she had the courage to prepare for the test in spring shows how she human being wants to live and for her to live in a new country she must adapt by passing that test to become a survivor.",2
"In the story    Winter Hibiscus    Saeng vowes to herself in the spring, when the snow melts and geese return and the hibiscus is budding. then I will take the test again. The author concludes   with this paragraph because the hibiscus brings her comfort from home and confidence.   Almost  familiar to her now.   This quote from the story shows that things are starting to be right and she is starting to feel comforting her by making her relize that where she is living now can be similar to where she used to live. When around the hibiscus it brings back memorys of the flowers that   they used to have where they lived. Both the mother and the daughter appreciate the flower they found because it is similar to what they had back home. For example, in the story the mother says   Its flowers aren  t as pretty, but its strong enough to make it through the cold months here.   This shows that they appreciate its similarity to the old hibiscus. In conclution the author concludes this story with that paragraph because it helps readers to understand the importance of the  girls memory of where she used to live.",2
"The author choose this end to show that saeng hasn't given up on how she is living yet. It shows that even though she really loved her hometown, and feels and remembers a lot back then. She had taken the test and failed, living where she was living then just seemed too much pressure on her. Although she hasn't quite adapted throughly she will try her best to surcome situations that are brought upon her. It gives the reader hope by ending the story like this, instead of just leaving the reader at she bought a flower after failing a test and moves on with her life. For example when she failed the test she seemed distressed and very angry. I,  I-I failed the test,   Saeng said. For a long moment mrs. Panouvong said nothing. Saeng did not dare look her mother in the eye. Instead, she stared at the hibiscus plant and nervously tore off a leaf, shedding it to bits.  it anger Saeng how she had to leave her happy past life for one that is different and challenging. When faced with a challenge extreme emotiona situations occur. Saeng just needed hope and the author choose this to betray to then reader there is a chance of hope!",3
"The reason why at the end of the story she ended it with ""when they came back, Saeng vowed silently to herself, in the spring; when the shows melt & the gees return & this hibiscus is budding, then I will take the again  . is because shes making the statement that the birds have where they live all the time & the plant can live here & not when she has & still live shes saying she can to if she tries so she will wait till birds came back are ok the plant buds living in her new home so everything will be okey then she will be able to take the test because she understand & believe she will feel safer & a lot better.",1
"The story like this for mine reasons. First of all he ended the story to make the readers think about what will happen if there is a part two. Secondly, so he can make a part two. That is way he ended the story like that.",1
"She vowed this because just as the geese would return she shall. also as the test themselves to learn and grow she would. Furthermore she @CAPS1 the the test of love, survial and family tridition she would know that comeing. back was destiny. In example they come to raise their young for the journey that they shall face and Help them to  realise that they always will come back because their lives started there and to always exacpe cold and man kind that wants to harm their lives. The winter months are very harsh there so They know that they have to leave just to @CAPS2. She learns the lessons of family, freedom, life, and survival.",1
"The author concludes the story   Winter Hibiscus   with this paragraph because it conveys the theme of the story, adjusting to changed in life. So many things have changed for Saeng and she hasn  t full adjusted yet to the way of life. Yet she learns that she needs to be determined to adapt and survive like Hibiscus. The text states,   In the spring, when this hibiscus is budding   The hibiscus teaches Saeng to never give up, like the hibiscus doesn  t give up and survives during the winter. She learns to be determined and even though she failed the test the first time, her memories have helped her and she is going to go for it again. These ideas are in the last paragraph because they summarize the idea of not giving up even if you feel out of place. She has slowly gotten used to this new place and recognizes the seasons now as she thinks this last thought.",3
"The author chooses to end this story like this for many reasons. Throughout the story, the author gives you hints of Saeng being homesick. He relates this to the flower being strong enough to survive the winter months. Meaning she  ll survive also. Although the flower isn  t the same as she had at home, change is inevitable and atleast she could hold on to that. So I believe the author decides to end the story with this to say just like the plant she  ll survive and try to adjust in the spring also like her driving test.     ",2
"I belive that the author included this paragraph to show that you she didn't give up, to show that she kept trying after she failed. Saeng said to her mother ""I failed the test"". Also to make her sound proud and happy to try the test over again. Also I have failed test. I also said that I would take them over but I didn't. So the author put that in their to show how determin she was going to sound.",1
"The author concludes the story with this paragraph because it lets the reader know that there is still a chance for Saeng; she is not giving up on herself or the test. While reading you will find that Saeng is comforted by memories of her homeland, and obviously this move to another country was hard on her. In the story the author writes,   It felt smooth and cool, with a hint of velvet toward the center- just as she had known it would feel.   The feeling and scent of the hibiscus flower comforted her. She then proceeded to purchase the plant, because she failed the test she needed something to lift her spirits back up once again. The author decided to end the story with Saeng stating that once   this hibiscus plant is budding,then l will take that test again   because as the reader should have learned by now, the hibiscus plant has been the only positive aspect in her life since the move. It is giving her motivation to once again take the driver  s test, and it is also letting the reader know that Saeng is not giving up.",3
"Minfong Ho concluded the story   Winter Hibiscus   with a strong paragraph to show the passion and will of Saeng in her new home to complete the test. When the closing sentences states that Saeng   vowed   to pass the test, it shows her determination to fight. This will could be from the memories of her grandmother and the flowers that reminded her so closely of her old home. Saengs courage to face her homesickness is the seed of the story, and by ending it with such a bold statement, Minfong Ho blooms this seemingly sad tale into a story of willpower and drive to pass her test.   Winter Hibiscus   is a passage of heartache, despair, and yerning for a past life. By closing the story with the uplifting promise from Saeng, Minfong Ho puts a happy ending to a possibly sad tale.",3
"Saeng was thinking to herself after dinner about the test. She knew that she can do much better than before. And she made a vowed to herself saying that once winter finally ends and spring start, she would take the test again, and this time she will pass it with flying colors.",1
"Saeng wants to take the test again when it is beautiful out and the hibiscus is buddy. The plant shows the beautiful achievement of passing the test. The plant will help her past the test by being strong, tough, and nicely finished. These characteristics reprecent the girl and the flower. The day was a good day and wants to take the test on the same day. The plant was strong and tought. This represents the girl in that time she didn  t pass. She told her mother and was very understandig about it. The plant represents beautiful things and the geese represent beautiful things. The girl wants to do that on that time of day and thinks she will get it next time. When she completes and past her test she wants to come home to the beautiful surroundings to remember that day. The author concluded with that statement to represent the importance of the plant and the surroundings of when she wants to past the test.",1
"The author might have concluded the story with that paragraph, because she wanted to remind the reader how sincearl, ""Saeng"" was to the hibiscus flower. I say this because through out the story @PERSON1 was very compassionate about the flower. I think she felt as through she could relate to the flower.",1
"The author ends with this paragraph because it symbolizes a new beggining, Saeng says,   I    I failed the test.   She is also really sad, she is making a commitment to get a fresh start on life, just like how the world does every spring. The theme of the story is when life seems hard take a new approach. She intends to retake the drivers test.",1
"Minfong Ho ended her story ""Winter Hibiscus"" with an optomistic sentence. She concluded it this way because the main character of the story was beginning to lose hope. Saeng decided to retake the driving test when her hibiscus flower was blooming. This flower reminds her of her past life in Vietnam with her grandmother. ""Saeng could almost feel the light strands of her grandmother's long gray hair, freshly washed, as she combed it out with the fine-toothed buffalo-horn comb"". She preferred her life in Vietnam than hers in @LOCATION2. She was goint to wait until ""this hibiscus is budding,"" so she can feel more comfortable and happy. The author wanted to end it so Saeng would be happy. ",2
"The author ended the story with that because she is sad and she wants to give hope to the reader that you should never give up on any thing, always keep trying. Also it ends on a good note, if was like I stayed up in my @CAPS1 crying that would not be good ending. This ending gives hope to the reader and it also tells the reader to practice. This is because when spring comes a end the lady is going to practice driving so when she takes the test she want fail. Also the girl is getting happier at the end and that makes the reader happy. So in conclusion that ending for story has a good choose for many reasons, like making the reader happy, giving the reader couage to never give up, end to practice something if you fail it the first time. Also to help your mother when she is planting or digging up plant,",2
